"codigo"|"apartamento"|"bairro_extraido"|"qtd_quartos"|"qtd_banheiros"|"qtd_graragem"|"metragem"|"valor_venda"
213941|Apartamento de 39m² com 02 quartos para locação - Jardim Diva Tarlá de Carvalho|Jardim Diva Tarlá de Carvalho|2|1|1|39|R$ 215.000,00
214370|Apartamento de 43m² com 02 quartos para locação e venda - Reserva Macaúba|Reserva Macaúba|2|1|1|43|R$ 180.000,00
192755|Apartamento de 41m² com 02 quartos para venda e locação - Residencial Jequitibá|Residencial Jequitibá|2|1|1|41|R$ 185.000,00
130730|Apartamento de 42m² com 02 quartos para a locação e venda - Jardim Heitor Rigon|Jardim Heitor Rigon|2|1|1|42|R$ 140.000,00
141767|Apartamento de 40m² com 02 quartos para locação - Parque dos Pinus|Parque dos Pinus|2|1|1|40|R$ 180.000,00
210416|Apartamento de 43m² com 02 quartos à venda - Jardim Heitor Rigon|Jardim Heitor Rigon|2|1|1|43|R$ 140.000,00
238052|Apartamento de 48m² com 02 quartos para locação e venda - Parque São Sebastião|Parque São Sebastião|2|1|1|48|R$ 139.000,00
205916|Apartamento de 39m² com 02 quartos para locação - Residencial das Américas|Residencial das Américas|2|1|1|39|R$ 140.000,00
221180|Apartamento de 42m² com 02 quartos para locação e venda - Jardim José Wilson Toni|Jardim José Wilson Toni|2|1|1|42|R$ 140.000,00
201014|Apartamento de 42m² com 02 quartos para locação e venda - Jardim Florestan Fernandes|Jardim Florestan Fernandes|2|1|1|42|R$ 155.000,00
244172|Apartamento de 42m² com 02 quartos para a locação e venda - Recanto das Palmeiras|Recanto das Palmeiras|2|1|1|42|R$ 159.000,00
216002|Apartamento de 41m² com 02 quartos para locação e venda - Reserva Real|Reserva Real|2|1|1|41|R$ 159.000,00
230474|Apartamento de 41m² com 02 quartos para locação e venda - Reserva Real.|Reserva Real|2|1|1|41|R$ 160.000,00
201161|Apartamento de 34m² com 01 quarto à venda e locação - Vila Monte Alegre|Vila Monte Alegre|1|1|1|34|R$ 160.000,00
170090|Apartamento de 65m² com 02 quartos para locação e venda - Planalto verde.|Planalto verde|2|1|1|65|R$ 160.000,00
171029|Apartamento de 02 quartos para locação - Campos Elíseos|Campos Elíseos|2|1|1|47|R$ 165.000,00
201353|Apartamento de 42m² com 02 quartos - Valentina Figueiredo|Valentina Figueiredo|2|1|1|42|R$ 140.000,00
157112|Apartamento de 37m² com 01 quarto para locação e venda - Centro|Centro|1|1|1|37|R$ 170.000,00
122978|Apartamento de 01 quarto para locação - Jardim Paulista|Jardim Paulista|1|1|1|51|R$ 170.000,00
231926|Apartamento de 47m² com 2 dormitórios à venda - Jardim Paulistano|Jardim Paulistano|2|1|1|47|R$ 180.000,00
152066|Apartamento de 02 quartos para locação - Jardim Zara|Jardim Zara|2|1|1|42|R$ 180.000,00
216308|Apartamento de 43m² com 02 quartos para locação - Jardim Interlagos|Jardim Interlagos|2|1|1|43|R$ 198.000,00
235439|Apartamento de 42m² com 02 quartos para locação e venda - Jardim Heitor Rigon|Jardim Heitor Rigon|2|1|1|42|R$ 199.000,00
237842|Apartamento de 42m² com 02 quartos para locação e venda - Jardim Heitor Rigon|Jardim Heitor Rigon|2|1|1|42|R$ 200.000,00
205103|Apartamento studio novo de 29m² para locação - Jardim Palma Travassos|Jardim Palma Travassos|1|1|1|29|R$ 200.000,00
205097|Apartamento novo com 01 quarto para locação - Jardim Palma Travassos|Jardim Palma Travassos|1|1|1|29|R$ 200.000,00
177458|Apartamento de 48m² com 02 quartos para locação e venda - Bonfim Paulista|Bonfim Paulista|2|1|1|48|R$ 212.000,00
108008|Apartamento de 46m² com 01 quarto para locação e venda - Centro|Centro|1|1|1|46|R$ 212.000,00
215207|Apartamento de 42m² com 02 quartos para locação - Parque dos Servidores II|Parque dos Servidores II|2|1|1|42|R$ 230.000,00
80627|Apartamento de 52m² com 1 quarto - Vila Seixas|Vila Seixas|1|1|1|52|R$ 235.000,00
67985|Apartamento de 90m² com 03 quartos para locação - Vila Seixas|Vila Seixas|3|2|1|90|R$ 240.000,00
234554|Apartamento de 48m² com 02 quartos para locação e venda - Parque das Oliveiras II|Parque das Oliveiras II|2|1|1|48|R$ 280.000,00
117233|Apartamento de 140m² com 03 quartos para locação - Centro|Centro|4|3|2|140|R$ 330.000,00
105212|Apartamento de 93m² com 03 quartos à venda - Jardim Botânico|Jardim Botânico|3|3|2|93|R$ 880.000,00
184061|Apartamento de 152m² com 03 suítes à venda - Nova Aliança|Nova Aliança|3|5|2|152|R$ 900.000,00
126362|Apartamento de 123m² com 03 suíte para locação e venda - Jardim Botânico|Jardim Botânico|3|4|2|123|R$ 970.000,00
235106|Apartamento mobiliado de 82m² com 02 suítes para a locação e venda - Jardim Olhos D`Água|Jardim Olhos DÁgua|2|3|2|82|R$ 999.900,00
236759|Apartamento de 108m² com 03 suítes para locação e venda - Jardim Olhos d´agua|Jardim Olhos d´agua|3|4|2|108|R$ 1.000.000,00
222119|Apartamento de 152m² com 03 suítes à venda - Nova Aliança|Nova Aliança|3|5|2|152|R$ 1.000.000,00
217214|Apartamento de 109m² com 03 suítes à venda - Jardim Olhos D`Água|Jardim Olhos DÁgua|3|4|2|109|R$ 1.000.000,00
188555|Apartamento de 144m² com 03 suítes à venda - Jardim Botânico|Jardim Botânico|3|5|2|144|R$ 1.000.000,00
152996|Apartamento de 117m² com 02 suítes á venda - Jardim Botânico|Jardim Botânico|2|3|2|117|R$ 1.000.000,00
126275|Apartamento de 173m² com 03 quartos à venda - Centro|Centro|4|5|2|173|R$ 1.000.000,00
116618|Apartamento de 108m² com 03 suítes para locação e venda - Bosque das Juritis|Bosque das Juritis|3|4|2|108|R$ 1.000.000,00
