codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
213614.0,Lançamento Artse   Apartamento de 237m² com 04 suítes à venda   Jardim Ilhas do Sul,4.0,6.0,3.0,237.0,Jardim Ilhas do Sul,2169998.87
166385.0,APARTAMENTO NO PARQUE DOS LAGOS,2.0,2.0,2.0,53.0,Parque dos Lagos,295000.0
123494.0,Apartamento   Padrão,1.0,1.0,1.0,38.0,Ribeirania,127000.0
235061.0,Apartamento de 90m² com 02 suítes para venda e locação   Quinta da Primavera,2.0,3.0,2.0,90.0,Quinta da Primavera,780000.0
245258.0,Apartamento de 85m² com 02 suítes para venda   Nova Aliança,2.0,3.0,2.0,85.0,Nova Alianca,776382.0
136907.0,APARTAMENTO PADRÃO   ÚNICO RESIDENCIAL,2.0,1.0,1.0,54.0,Jardim Novo Mundo,275923.33
233639.0,Apartamento de 144 m² com 03 suítes à venda   Jardim Botânico.,3.0,5.0,2.0,144.0,Jardim Botanico,990000.0
46838.0,Apartamento de 120m² com 03 quartos à venda   Campos Elíseos,3.0,3.0,1.0,120.0,Campos Eliseos,290000.0
171029.0,Apartamento de 02 quartos para locação   Campos Elíseos,2.0,1.0,1.0,47.0,Campos Eliseos,165000.0
181100.0,Apartamento de 58m² com 02 quartos para locação e venda   Jardim Zara,2.0,2.0,1.0,58.0,Jardim Zara,198000.0
228143.0,Apartamento de 80m² com 02 suítes para locação   Jardim Olhos D`Água,2.0,3.0,2.0,80.0,Bonfim Paulista,1170000.0
91475.0,Apartamento   Padrão,3.0,2.0,2.0,80.0,Alto da Boa Vista,370000.0
67778.0,Apartamento de 63 m² e 2 quartos  Presidente Medici,2.0,2.0,1.0,63.0,Presidente Medici,220000.0
229895.0,Apartamento de 61m² com 02 quartos à venda  Jardim Palma Ttravasso,2.0,1.0,1.0,61.0,Jardim Palma Travassos,280000.0
148337.0,APARTAMENTO PRÓXIMO À AVENIDA LUZITANA,2.0,1.0,1.0,57.0,Republica,233000.0
