codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
231179.0,Apartamento de 80m² 02 quartos à venda   Campos Elíseos,2.0,2.0,1.0,80.0,Campos Eliseos,470000.0
171476.0,APARTAMENTO NA PRESIDENTE MEDICI,3.0,3.0,1.0,114.0,Presidente Medici,424000.0
214892.0,Apartamento de 166m² com 03 suítes   Jardim Olhos d´agua,3.0,5.0,2.0,166.0,Jardim Olhos DAgua,1504192.26
176777.0,Apartamento de 48m² com 02 quartos para venda   Jardim Paulistano,2.0,1.0,1.0,48.0,Jardim Paulistano,260000.0
199400.0,EXCELENTE APARTAMENTO TÉRREO PARA VENDA EM CONDOMÍNIO FECHADO,2.0,1.0,1.0,41.0,Reserva Real,170000.0
224333.0,Apartamento de 42m² com 02 quartos para venda   Quintino Facci II,2.0,1.0,1.0,42.0,Quintino Facci II,130000.0
130424.0,APARTAMENTO NA AV. CARAMURU,3.0,2.0,1.0,80.0,Alto da Boa Vista,375000.0
245603.0,Apartamento de 135m² com 03 suítes à venda   Bosque das Juritis,4.0,5.0,2.0,135.0,Bosque das Juritis,1100000.0
104597.0,"Apartamento de 46,36 m² com 02 quartos para locação e venda   Jardim Itaú",2.0,1.0,1.0,36.0,Jardim Itau,200000.0
199799.0,LINDO APARTAMENTO NA ZONA NORTE,2.0,1.0,1.0,41.0,Parque dos Pinus,180000.0
199583.0,APARTAMENTO COM ELEVADOR NO VITTA PRAÇAS DO IPIRANGA,2.0,1.0,1.0,46.0,Ipiranga,180000.0
177224.0,APARTAMENTO NO CENTRO,3.0,3.0,2.0,131.0,Centro,550000.0
185984.0,Apartamento de 02 quartos á venda   Pq. São Sebastião,2.0,1.0,1.0,45.0,Parque Sao Sebastiao,165000.0
189365.0,OPORTUNIDADE VITTA VILA VIRGINIA I,2.0,1.0,1.0,49.0,Vila Virginia,145000.0
207326.0,Apartamento de 132m² com 02 suítes à venda   Bosque das Juritis,2.0,3.0,2.0,132.0,Jardim Botanico,1250000.0
66170.0,Apartamento de 60m² com 02 quartos para venda   Planalto verde,2.0,1.0,1.0,60.0,Planalto Verde,191000.0
224588.0,Apartamento de 42m² com 02 quartos à venda   Ipiranga,2.0,1.0,1.0,42.0,Ipiranga,140000.0
241166.0,Apartamento de 63m² com 02 quartos para locação   Jardim Botânico,2.0,1.0,1.0,63.0,Jardim Botanico,310000.0
236747.0,Apartamento de 47m² com 02 quartos á venda   Ipiranga,2.0,1.0,1.0,47.0,Ipiranga,260000.0
185987.0,EXCELENTE APARTAMENTO NO CENTRO,4.0,4.0,1.0,200.0,Centro,690000.0
233894.0,Apartamento de 53m² com 02 quartos á venda   Quinta da Primavera,2.0,1.0,1.0,53.0,Condominio Mirante Sul,250000.0
118466.0,Apartamento de 02 quartos   Jd. Heitor Rigon,2.0,1.0,1.0,48.0,Jardim Heitor Rigon,150000.0
111728.0,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,4.0,3.0,2.0,118.0,Jardim Saint Gerard,1200000.0
96422.0,Apartamento de 65m² com 02 quartos à venda   Centro,2.0,2.0,1.0,65.0,Centro,403000.0
166721.0,Apartamento de 74m² com 02 quartos à venda   Parque dos Bandeirantes,2.0,2.0,1.0,74.0,Parque dos Bandeirantes,220000.0
205451.0,Apartamento de 45m² com 02 quartos à venda   Parque São Sebastião,2.0,1.0,1.0,45.0,Parque Sao Sebastiao,145000.0
238874.0,Apartamento de 46m² com 02 quartos à venda   Parque São Sebastião,2.0,1.0,1.0,46.0,Parque Sao Sebastiao,235000.0
224852.0,Apartamento de 46m² com 02 quartos para locação e venda   Reserva Sul Condomínio,2.0,1.0,1.0,46.0,Reserva Sul Condominio,220000.0
159314.0,Apartamento de 98m² com 03 quartos sendo 01 suíte à venda   Quinta da Primavera,3.0,3.0,2.0,98.0,Quinta da Primavera,790000.0
220796.0,Apartamento mobiliado de 46m² com 02 quartos à venda   Nova Aliança,2.0,2.0,1.0,46.0,Nova Alianca,265000.0
214004.0,Apartamento de 42m² 02 quarto para locação   Avelino Alves Palma,2.0,1.0,1.0,42.0,Quintino Facci II,185000.0
236357.0,Apartamento de 133m² com 03 suítes à venda   Nova Aliança,3.0,5.0,1.0,133.0,Nova Alianca,955000.0
118250.0,Apartamento de 69m² com 03 quartos à venda   Jardim Paulista,3.0,2.0,1.0,69.0,Jardim Paulista,235000.0
129893.0,APARTAMENTO NO JARDIM JOÃO ROSSI,2.0,1.0,1.0,45.0,Jardim Joao Rossi,107000.0
183491.0,Excelente Apartamento no Residencial Palmares,3.0,2.0,2.0,78.0,Residencial e Comercial Palmares,375000.0
241826.0,Apartamento de 46m² com 2 quartos para locação e venda   Ipiranga,2.0,1.0,1.0,46.0,Ipiranga,200000.0
232982.0,Apartamento de 50m² com 02 quartos à venda   Residencial Monterrey,2.0,1.0,1.0,50.0,Residencial Monterrey,450000.0
230963.0,Apartamento de 43m² com 02 quartos á venda e locação   Vitta Heitor Rigon III,2.0,1.0,1.0,43.0,Jardim Heitor Rigon,120000.0
218537.0,Apartamento de 432m² com 06 quartos para locação e venda  Centro,6.0,5.0,4.0,432.0,Centro,860000.0
218699.0,Apartamento de 110m² com 02 suítes à venda   Bonfim Paulista,2.0,3.0,2.0,110.0,Bonfim Paulista,850000.0
224927.0,Apartamento de 41m² com 02 quartos à venda   Ipiranga,2.0,1.0,1.0,41.0,Ipiranga,150000.0
242012.0,Apartamento de 44m² com 02 quartos à venda   Ribeirânia,2.0,1.0,1.0,44.0,Ribeirania,230000.0
159005.0,APARTAMENTO PRÓXIMO À RODOVIA ANHANGUERA,2.0,1.0,1.0,46.0,Residencial Greenville,200000.0
170303.0,Apartamento de 92m² com 03 quartos para locação   Jardim Sumaré,3.0,3.0,1.0,92.0,Jardim Sumare,300000.0
195428.0,Apartamento de 68m² com 02 quartos à venda   Centro,2.0,1.0,1.0,68.0,Centro,340000.0
232607.0,Apartamento Terreo na zona sul   Santa Cruz do José Jacques,2.0,1.0,1.0,97.0,Santa Cruz do Jose Jacques,320000.0
220316.0,Apartamento de 43m² com 02 quartos à venda   Jardim Heitor Rigon lll,2.0,1.0,1.0,43.0,Jardim Heitor Rigon,130000.0
228029.0,Apartamento de 227m² com 04 suítes à venda   Jardim Ilhas do Sul,4.0,6.0,4.0,227.0,Jardim Ilhas do Sul,1850000.0
238742.0,Apartamento de 166m² com 03 suítes   Jardim Olhos d´agua,3.0,5.0,2.0,166.0,Jardim Olhos DAgua,1400000.0
189518.0,Apartamento de 124m² com 03 quartos à venda   Centro,4.0,4.0,2.0,124.0,Centro,750000.0
230138.0,Apartamento de 65m² com 02 quartos à venda   Parque Anhanguera,2.0,1.0,1.0,65.0,Parque Anhanguera,250000.0
161900.0,APARTAMENTO PRÓXIMO À AVENIDA ANTÔNIO E HELENA ZERRENER,2.0,1.0,1.0,46.0,Sumarezinho,190000.0
126362.0,Apartamento de 123m² com 03 suíte para locação e venda   Jardim Botânico,3.0,4.0,2.0,123.0,Jardim Botanico,970000.0
86573.0,Apartamento de 144m² com 03 suítes à venda   Jardim Irajá,3.0,4.0,2.0,144.0,Jardim Iraja,750000.0
67448.0,Apartamento de 107m² com 03 suítes suíte para locação   Jardim Paulista,3.0,4.0,2.0,107.0,Jardim Paulista,700000.0
128363.0,APARTAMENTO NO GRAND PRIVILEGE,4.0,6.0,2.0,310.0,Jardim Botanico,2699000.0
199217.0,APARTAMENTO NO CENTRO,2.0,2.0,1.0,132.0,Centro,460000.0
239669.0,Apartamento de 42m² com 02 quartos à venda   Jardim Heitor Rigon,2.0,1.0,1.0,42.0,Jardim Heitor Rigon,140000.0
211940.0,Apartamento de 44m² com 01 suíte para locação,1.0,1.0,1.0,44.0,Jardim Recreio,375000.0
151436.0,Apartamento de 69m² com 02 quartos à venda   Jardim Macedo,2.0,1.0,1.0,69.0,Jardim Macedo,210000.0
234635.0,Apartamento de 47m² com 02 quartos para venda,2.0,1.0,1.0,47.0,Reserva Sul Condominio,225000.0
201455.0,APARTAMENTO NA VILA TIBERIO,2.0,2.0,2.0,80.0,Vila Tiberio,390000.0
108875.0,Apartamento de 46 m² com 02 quartos   Parque São Sebastião,2.0,1.0,1.0,46.0,Parque Sao Sebastiao,150000.0
214490.0,Apartamento de 46m² com 01 suíte para locação e venda   Jardim Botânico,1.0,1.0,1.0,46.0,Jardim Botanico,210000.0
240278.0,Apartamento de 49m² com 02 quartos à venda   Residencial Monterrey,2.0,1.0,1.0,49.0,Residencial Monterrey,334000.0
